nan,nan,3.084161196994421441e-14,1.684568532795962809e-14,1.781847825162134059e-14,1.890332235314232648e-14,2.009544132029765414e-14,2.138878358838816526e-14,2.277713498522723226e-14,2.425521967397884696e-14,2.581933336946685861e-14,2.746737979422923032e-14,2.919841243740300664e-14,3.101197033360572745e-14,3.290747217362992872e-14,3.488377695713270554e-14,3.693890828096790635e-14,3.906985853349225849e-14,4.127243081705922580e-14,4.354109133082562244e-14,4.586880815652509088e-14,4.824691465808747895e-14,5.066495316364046691e-14,5.311058964323332779e-14,5.556948294961380223e-14,5.802531821510398240e-14,6.045979378023194834e-14,6.285279500752532931e-14,6.518267726382028974e-14,6.742670870346903053e-14,6.955251331521822773e-14,7.155532299054744222e-14,7.340621281118147854e-14,7.508851038294203956e-14,7.659676242506693150e-14,7.792131223177037706e-14,7.907850210274135223e-14,8.009933644477293063e-14,8.104019674703157826e-14,8.199200264910282874e-14,8.309319360162614695e-14,8.454848487658399081e-14,8.666055310243246667e-14,8.988132078866398671e-14,9.490726175187335410e-14,1.028624904076058903e-13,1.156732926302336887e-13,1.368932454713776876e-13,1.736687601293644817e-13,2.419134807459017422e-13
2.072962503712411455e-14,2.202092941338609902e-14,2.345329091343536575e-14,1.303658427347876787e-14,1.371676255785757013e-14,1.449241528316734022e-14,1.536213145073486806e-14,1.632256387945438200e-14,1.736902053440120080e-14,1.849637401205146878e-14,1.970002530891413061e-14,2.097655141434224717e-14,2.232397287019455127e-14,2.374142978908611544e-14,2.522870120679964071e-14,2.678566971370228250e-14,2.841191865157801433e-14,3.010647465125548105e-14,3.186764612262567162e-14,3.369290042777709370e-14,3.557876037064283866e-14,3.752069721255662225e-14,3.951304144717017307e-14,4.154889337134500700e-14,4.362005820448325763e-14,4.571702998359704923e-14,4.782899145602855701e-14,4.994391848728973849e-14,5.204874608666388817e-14,5.412967769953003774e-14,5.617267453331975239e-14,5.815645755695730866e-14,6.008345470384899206e-14,6.193723502411832876e-14,6.371302072315572084e-14,6.541713674289689449e-14,6.705555887192241611e-14,6.865930602616827671e-14,7.027758201751871811e-14,7.198959437561398856e-14,7.391744341637989690e-14,7.624564944185261543e-14,7.925263814362162715e-14,8.336429449130640333e-14,8.925050531351719361e-14,9.800993594072457740e-14,1.115469039158611978e-13,1.333968792273769555e-13,1.706935880428405371e-13,2.393394571692095116e-13
1.594345815415800386e-14,1.685578092432982338e-14,1.788803334733653016e-14,1.017662961609243108e-14,1.063656468093287157e-14,1.117466069768401315e-14,1.179207831238062209e-14,1.248828018323858111e-14,1.326105004039613320e-14,1.410686734766832920e-14,1.502159554608141568e-14,1.600129536316956891e-14,1.704289611557215373e-14,1.814450851284666743e-14,1.930533217232628896e-14,2.052529015063165932e-14,2.180454518965794968e-14,2.314321800225348941e-14,2.454106353957956219e-14,2.599737464002477240e-14,2.751087916517121083e-14,2.907967609797296110e-14,3.070116440408539989e-14,3.237201106038041341e-14,3.408809499687894320e-14,3.584450775567876310e-14,3.763557442515701359e-14,3.945491920908056794e-14,4.129561565233441325e-14,4.315041874220907698e-14,4.501211818913860271e-14,4.687408982334770364e-14,4.873105280345051309e-14,5.057322818906988282e-14,5.241483995351746960e-14,5.425664264854054810e-14,5.611775369785451501e-14,5.802161076918045596e-14,6.001823495246151436e-14,6.218213803581645593e-14,6.462722278640029644e-14,6.752614461613200075e-14,7.114180608987410583e-14,7.588117307331127780e-14,8.239231069075536449e-14,9.174969915382216920e-14,1.058314481594244786e-13,1.281444441972214159e-13,1.657877326041940177e-13,2.346180385249341242e-13
1.236245662508973681e-14,1.298820091931679966e-14,1.371242304032378314e-14,8.024488604705528297e-15,8.323225001060163849e-15,8.683774065576627694e-15,9.108643898429702676e-15,9.599264739639760005e-15,1.015571964328801184e-14,1.077667288441680886e-14,1.145958205897921118e-14,1.220119524772735367e-14,1.299821671835386721e-14,1.384793118968924478e-14,1.474857985147969989e-14,1.569939716703429161e-14,1.670036766723253638e-14,1.775186813750009171e-14,1.885434585766479180e-14,2.000809695430058725e-14,2.121315357267644780e-14,2.246916422414285774e-14,2.377545522837754353e-14,2.513090898558313125e-14,2.653399256392327567e-14,2.798278761193884587e-14,2.947493237913699076e-14,3.100786254401229967e-14,3.257876881428639019e-14,3.418490968735269365e-14,3.582387376240361716e-14,3.749404630083654617e-14,3.919525602899260898e-14,4.092967425476052545e-14,4.269739549165758371e-14,4.452054110080019175e-14,4.641316126836068549e-14,4.840616390416506424e-14,5.055063316170380328e-14,5.291359683780508088e-14,5.560697411028024724e-14,5.879576900528412863e-14,6.273160530111767017e-14,6.780602588283879430e-14,7.464683029986595249e-14,8.430224836594057409e-14,9.861586070197244661e-14,1.210468982382062966e-13,1.586228797524562013e-13,2.270811915808004158e-13
9.679690788956832399e-15,1.009432699510587522e-14,1.058711859970219732e-14,6.396867377985265646e-15,6.580680985012439640e-15,6.812158865098165898e-15,7.094129878788413766e-15,7.428935024799007396e-15,7.818124382155775536e-15,8.262200270713110519e-15,8.760494488524162404e-15,9.311262631140939075e-15,9.912024580061632569e-15,1.056008893141460054e-14,1.125310713602191021e-14,1.198947368101388001e-14,1.276845659546860530e-14,1.359006813781989050e-14,1.445479312821159964e-14,1.536331116631796545e-14,1.631629563281176186e-14,1.731430315494348912e-14,1.835772292468528148e-14,1.944676179398990952e-14,2.058145091637461914e-14,2.176166587330820024e-14,2.298717787530791699e-14,2.425773173416267259e-14,2.557317036591942814e-14,2.693363249055001526e-14,2.833982204449587558e-14,2.979341839716007073e-14,3.129763933265278501e-14,3.285804838402110746e-14,3.448370353685383416e-14,3.618398628514959443e-14,3.798946645149482579e-14,3.992812585419001398e-14,4.204790150548471369e-14,4.442244659654618678e-14,4.715258500227374463e-14,5.039836838985181764e-14,5.440045698393321335e-14,5.953416940648596399e-14,6.640382534072459926e-14,7.602353076330337324e-14,9.018588737734091784e-14,1.122699980758874579e-13,1.491682238566879561e-13,2.163681240101015347e-13
7.661633634428158628e-15,7.924696102596072886e-15,8.248117384713231789e-15,5.156864114510901497e-15,5.260681563277486553e-15,5.400706158712237478e-15,5.579480526898173281e-15,5.799451535858941452e-15,6.062749631619543493e-15,6.370939330157852116e-15,6.724786984353069285e-15,7.124114717062934820e-15,7.567813881972368701e-15,8.054062344559224893e-15,8.580721830803692273e-15,9.145809777696232154e-15,9.747893504225023914e-15,1.038628357512258403e-14,1.106099927632034155e-14,1.177257604752362521e-14,1.252183833790706550e-14,1.330971964986469982e-14,1.413716249922912975e-14,1.500508410733748766e-14,1.591437855596130898e-14,1.686595119494716766e-14,1.786076595584813676e-14,1.889994056980750206e-14,1.998485907630029882e-14,2.111735715717930336e-14,2.229997934121273880e-14,2.353633790186851147e-14,2.483163169828716806e-14,2.619336717985546134e-14,2.763237613943016738e-14,2.916428148100436310e-14,3.081158512606724469e-14,3.260226096833094347e-14,3.459157161341911274e-14,3.684374234049612625e-14,3.946125021995818602e-14,4.258989764933279655e-14,4.645887601136381155e-14,5.142353120045398492e-14,5.805788901952548339e-14,6.732934622278274440e-14,8.095600620995783156e-14,1.021919823110639486e-13,1.377054836391074511e-13,2.025472887446543657e-13
6.133544299963380963e-15,6.290312984526646090e-15,6.492865122912293245e-15,4.203535250252350818e-15,4.252901163492722610e-15,4.329623501365102986e-15,4.435714890860998642e-15,4.573291032321117921e-15,4.744444996525625561e-15,4.951078043979449401e-15,5.194698205239652896e-15,5.476219872427287626e-15,5.795810287017374257e-15,6.152855758283950177e-15,6.546082162978933301e-15,6.973844952719257610e-15,7.434515768051318649e-15,7.926849357904583420e-15,8.450212387927207295e-15,9.004622577543672033e-15,9.590631091733525000e-15,1.020914322346859880e-14,1.086126490446141864e-14,1.154821307075137285e-14,1.227129246643868292e-14,1.303191533024332869e-14,1.383165422937641479e-14,1.467232665781112530e-14,1.555610986998527698e-14,1.648571239526506730e-14,1.746460446985507503e-14,1.849735276901691069e-14,1.959006981165234181e-14,2.075108177462378752e-14,2.199182644348063308e-14,2.332817138075683111e-14,2.478230404387911115e-14,2.638549409805281871e-14,2.817846157905162083e-14,3.023229220174524908e-14,3.263709392446541309e-14,3.553180298907792247e-14,3.913016717402947576e-14,4.375856315765372676e-14,4.995447586286042532e-14,5.862431127046192738e-14,7.138543652372199133e-14,9.131662321759910636e-14,1.247597071694354570e-13,1.861053772693607285e-13
4.966478523494494129e-15,5.050300194178526803e-15,5.168555389158666195e-15,3.463052198977276285e-15,3.476194327081951643e-15,3.510064129490812109e-15,3.566122947471819044e-15,3.646004726179169973e-15,3.751458821760480213e-15,3.884258898578636666e-15,4.046074919704046795e-15,4.238315180555462099e-15,4.461955709162313747e-15,4.717397134439658906e-15,5.004397613461065950e-15,5.322129793034399623e-15,5.669379430190946879e-15,6.044851344005472956e-15,6.447495505734782092e-15,6.876749477440832342e-15,7.332630747252967082e-15,7.815684371006052483e-15,8.326853502631549426e-15,8.867351533519691993e-15,9.438585851535154245e-15,1.004214364248608534e-14,1.067982577646974470e-14,1.135371977431710073e-14,1.206630905834005798e-14,1.282062399181662097e-14,1.362045541896592138e-14,1.447064723473726028e-14,1.537750555138253168e-14,1.634937740404256771e-14,1.739745941502831478e-14,1.853696604402317747e-14,1.978880897252529046e-14,2.118207790373517674e-14,2.275776459588002010e-14,2.457122414357084533e-14,2.671364745650196058e-14,2.930859618430147600e-14,3.254834486410260898e-14,3.673648074878902987e-14,4.235939722691668203e-14,5.025127001193384259e-14,6.190480407923245697e-14,8.017630789538312311e-14,1.109823147946724474e-13,1.678281695194856795e-13
4.066194102288953244e-15,4.100996693677925904e-15,4.161697798177121679e-15,2.881607410099414985e-15,2.871289209425870490e-15,2.876823006146577698e-15,2.899198782879237463e-15,2.939581555705728819e-15,2.999292327172329510e-15,3.079769214706812441e-15,3.182503504014226893e-15,3.308943733833683944e-15,3.460373261003133341e-15,3.637770808898648212e-15,3.841681188464297971e-15,4.072134928802408236e-15,4.328659233246859737e-15,4.610406182450181269e-15,4.916385618077741811e-15,5.245743864430494505e-15,5.598002243334567347e-15,5.973185082549859988e-15,6.371821957518604013e-15,6.794863847540507842e-15,7.243585456833454602e-15,7.719522519422059987e-15,8.224466132850399800e-15,8.760510361908694686e-15,9.330141426231265466e-15,9.936374087095612379e-15,1.058293439614945886e-14,1.127452456046739694e-14,1.201717583888746722e-14,1.281875447583922994e-14,1.368967424424484778e-14,1.464391187904707556e-14,1.570048910046572358e-14,1.688565507828614371e-14,1.823617047458478679e-14,1.980438164850637378e-14,2.166623994347635778e-14,2.393112878825214203e-14,2.677651514271600075e-14,3.046897199325709841e-14,3.544980301915629486e-14,4.246543145329951013e-14,5.286746017890290842e-14,6.925307023787899696e-14,9.703280348630730056e-14,1.486335791991248118e-13
3.364153734032823167e-15,3.366765921986239370e-15,3.388996391695682455e-15,2.419969275555135903e-15,2.394997941331388202e-15,2.382320187587926034e-15,2.382562797279789178e-15,2.396502397739385910e-15,2.425064590215800363e-15,2.469313462682236388e-15,2.530426004422921338e-15,2.609647087854885492e-15,2.708220118317024063e-15,2.827293310500213182e-15,2.967808142977013874e-15,3.130387436739102675e-15,3.315252445378333682e-15,3.522204652595891045e-15,3.750700656171173535e-15,4.000022558881488515e-15,4.269507748094226281e-15,4.558771707287946901e-15,4.867854250857637379e-15,5.197268096116514766e-15,5.547954729309777957e-15,5.921217441193033070e-15,6.318675217161966820e-15,6.742266336811310301e-15,7.194307109081189718e-15,7.677599354605873333e-15,8.195590000372559599e-15,8.752594951962115186e-15,9.354107062320886957e-15,1.000723156450380060e-14,1.072129690457280802e-14,1.150873667975329631e-14,1.238635962216404627e-14,1.337725527927526010e-14,1.451363822937480173e-14,1.584127573004561598e-14,1.742651226537517636e-14,1.936777731273718466e-14,2.181222051955751054e-14,2.500136220194961456e-14,2.931923296861362982e-14,3.542777455349209650e-14,4.452751467875139725e-14,5.892999128942832304e-14,8.348854210061879512e-14,1.294148324927841554e-13
2.810556180660212637e-15,2.792633402432955855e-15,2.789758459409698616e-15,2.049433921202615628e-15,2.015812739652350786e-15,1.991887386065910618e-15,1.978022137562940996e-15,1.974699951446615425e-15,1.982528173223844789e-15,2.002240184516819872e-15,2.034690226329493606e-15,2.080837470085016100e-15,2.141715298977559431e-15,2.218381676441844131e-15,2.311849039029782400e-15,2.422996796452191472e-15,2.552477634817000487e-15,2.700638946170096705e-15,2.867487978692412905e-15,3.052728470147412551e-15,3.255879609618964441e-15,3.476459150597765905e-15,3.714182167004114089e-15,3.969116878843409083e-15,4.241759957952741602e-15,4.533034864327538808e-15,4.844252832202476830e-15,5.177084492199764750e-15,5.533574699411805239e-15,5.916212619713433918e-15,6.328056951090904978e-15,6.772922101080337944e-15,7.255641089616139792e-15,7.782432159588314135e-15,8.361420663534619055e-15,9.003384793724818871e-15,9.722842999547213847e-15,1.053967066243654148e-14,1.148154198886645148e-14,1.258772694335085442e-14,1.391513480993912448e-14,1.554825974615410744e-14,1.761613031368740339e-14,2.031969795446785691e-14,2.399780941507043843e-14,2.922255357917577137e-14,3.703747214744002795e-14,4.947266685918890493e-14,7.079378856422422394e-14,1.109287859616852195e-13
2.369123295157947236e-15,2.338639642956274129e-15,2.319885823360951627e-15,1.748878460843405522e-15,1.710652072652021110e-15,1.680212466500905190e-15,1.657742620782506547e-15,1.643515952419086015e-15,1.637903121018998335e-15,1.641377689655312041e-15,1.654519171788295670e-15,1.678011437801281721e-15,1.712633376674484641e-15,1.759238651553547969e-15,1.818721016389131903e-15,1.891962761228627566e-15,1.979767566695458380e-15,2.082784325631775727e-15,2.201436680689694324e-15,2.335880842336815297e-15,2.486015909706331600e-15,2.651562592974644556e-15,2.832204262201904228e-15,3.027758329987698131e-15,3.238329651483475385e-15,3.464406788019776910e-15,3.706892591089757006e-15,3.967093426220920529e-15,4.246710983284590954e-15,4.547869567313534542e-15,4.873198340605587107e-15,5.225976015657288074e-15,5.610345300377362855e-15,6.031620929524337988e-15,6.496723239997671080e-15,7.014807858302397049e-15,7.598175634500225001e-15,8.263632515625521809e-15,9.034551810844516342e-15,9.944079736816086888e-15,1.104026338157180638e-14,1.239450568566607028e-14,1.411601453364398554e-14,1.637753822844935998e-14,1.946336843625068853e-14,2.386059817862936834e-14,3.046913265122431693e-14,4.103150881924841064e-14,5.924461583943914891e-14,9.373883054759342267e-14
2.013293374652234818e-15,1.975645257484273794e-15,1.947307664245382866e-15,1.502643351415409031e-15,1.462501389171492273e-15,1.428727035418140049e-15,1.401382548368424667e-15,1.380597865309364801e-15,1.366577092295767799e-15,1.359603114230976458e-15,1.360044252672137665e-15,1.368357391918028407e-15,1.385088638838824396e-15,1.410868661827222375e-15,1.446399893926337051e-15,1.492432790265628366e-15,1.549729120724129938e-15,1.619011208104221732e-15,1.700901672962028716e-15,1.795863116541712863e-15,1.904154536919855873e-15,2.025825226877477612e-15,2.160763003107646423e-15,2.308799439536540341e-15,2.469852897543719027e-15,2.644072850379210830e-15,2.831948077910573848e-15,3.034362885120461565e-15,3.252613704135017505e-15,3.488421082631030778e-15,3.743972422413903654e-15,4.022018352051170219e-15,4.326038351971728532e-15,4.660488561181635922e-15,5.031161067595377717e-15,5.445702604603222334e-15,5.914371054643416438e-15,6.451165143442122333e-15,7.075539098951512306e-15,7.815080422380702437e-15,8.709791184834263929e-15,9.819186335132758963e-15,1.123443324321737396e-14,1.310004983378437676e-14,1.565449925676153903e-14,1.931037161381754045e-14,2.481970777048163031e-14,3.366755572920118675e-14,4.899735493069657760e-14,7.820040361607444882e-14
1.723483507387487641e-15,1.682280959976557044e-15,1.648609257329956217e-15,1.299020419874329604e-15,1.258721308524014850e-15,1.223718745941113153e-15,1.193997373025808487e-15,1.169592493267930142e-15,1.150594921563975838e-15,1.137154846510969450e-15,1.129487901327616933e-15,1.127879587650352129e-15,1.132689346293922583e-15,1.144352450897447510e-15,1.163378352486666953e-15,1.190343131437256606e-15,1.225874099987065433e-15,1.270623892953622449e-15,1.325233401932704898e-15,1.390285192346629696e-15,1.466253687207201691e-15,1.553464276931071565e-15,1.652077909568664068e-15,1.762117591441303074e-15,1.883544160341950174e-15,2.016372609583769760e-15,2.160802806963770039e-15,2.317332701913311163e-15,2.486833702259849388e-15,2.670592121235985183e-15,2.870342927547525597e-15,3.088329329178335454e-15,3.327416829895984468e-15,3.591282916396351368e-15,3.884704517738594699e-15,4.213980383093186545e-15,4.587552322323197480e-15,5.016931392851692533e-15,5.518110714876663881e-15,6.113770586006953176e-15,6.836819790562303770e-15,7.736266524895757965e-15,8.887300809768162185e-15,1.040934728859270756e-14,1.249993481034650823e-14,1.550179643923303967e-14,2.004443538304636191e-14,2.736201162243575672e-14,4.010234282923231551e-14,6.449927672929180381e-14
1.485137192337778073e-15,1.442763923088593460e-15,1.406591340640757990e-15,1.129175314191346570e-15,1.089840712625355367e-15,1.054980065042311565e-15,1.024530123515742313e-15,9.984658796049623058e-16,9.768039237590004100e-16,9.596052374832801885e-16,9.469799399985430410e-16,9.390912684270762479e-16,9.361600373074226881e-16,9.384685417066458505e-16,9.463632069348741220e-16,9.602548168564091066e-16,9.806147921978239689e-16,1.007965465737152371e-15,1.042862758290313046e-15,1.085869629006363721e-15,1.137521108108001123e-15,1.198284593117856549e-15,1.268523826711474807e-15,1.348479525162972214e-15,1.438281093228547533e-15,1.537999523989895393e-15,1.647739793940184175e-15,1.767755567944354663e-15,1.898562840674593330e-15,2.041028068082774848e-15,2.196432065083582278e-15,2.366525297978772185e-15,2.553607894910748749e-15,2.760664460129387548e-15,2.991583577672640372e-15,3.251493411410614727e-15,3.547262989501846401e-15,3.888255802376701991e-15,4.287478626108418455e-15,4.763383085486776821e-15,5.342758389668272512e-15,6.065539282422119786e-15,6.993082917333793611e-15,8.223016283774265492e-15,9.917165712648888586e-15,1.235702694593489179e-14,1.606111863185309620e-14,2.205232749593894287e-14,3.252252655416229932e-14,5.265955232702318911e-14
1.287337347590128950e-15,1.245334327783817632e-15,1.208523533869693587e-15,9.863784096193256611e-16,9.486965204679020472e-16,9.148448834494106655e-16,8.847323990576732493e-16,8.582973214443576298e-16,8.355091800301040089e-16,8.163711541580488347e-16,8.009229338733333445e-16,7.892440372343426538e-16,7.814574890754339563e-16,7.777336743724885106e-16,7.782939833712163509e-16,7.834138884712066299e-16,7.934242795964810820e-16,8.087102515178666293e-16,8.297056388126138848e-16,8.568818593899538375e-16,8.907296518575381139e-16,9.317336287312497557e-16,9.803417131151523121e-16,1.036935109450949197e-15,1.101808480922683198e-15,1.175172603021538672e-15,1.257190108406518724e-15,1.348047499572669256e-15,1.448054586045587103e-15,1.557752768496259749e-15,1.678013305896410279e-15,1.810119380084415640e-15,1.955844071351819167e-15,2.117552735669175092e-15,2.298364385956124796e-15,2.502407976908646929e-15,2.735218721153386957e-15,3.004341451105680815e-15,3.320258118108514662e-15,3.697842572459537039e-15,4.158703904853538110e-15,4.735086360068415598e-15,5.476594108343638385e-15,6.462282938352434048e-15,7.823446616861790986e-15,9.788987631648802290e-15,1.278163184339426796e-14,1.763771863576862113e-14,2.615525989763628612e-14,4.261151620817550132e-14
